,FoodType,Protein_Pct_Cal,Fat_Pct_Cal,Carbs_Pct_Cal
0,Animal-based,46.064668890887944,43.77153896300872,9.49345340170181
1,Plant-based,26.768214757216242,15.593251543304437,58.927011127825445
